Session Title,Date,Time Start,Time End,Room/Location,Schedule Track (Optional),Description (Optional)
Jessie Shternshus : Creative Problem Solving - REPEAT SESSION - (Wednesday Half Day PM),01/09/2013,1:30 PM,5:30 PM,Banyan,Communication,"(Limited to 40 participants each) 
In today’s demanding market, when every effort is maximized and any improvement counts, creativity can become your winning edge.The importance of creative mind in the corporate world cannot be emphasized enough. During this workshop, you will deepen your core skills in collaboration, creativity, empathy, and problem solving. This original workshop will open the door to the hidden creativity potential within you.  Building on proven applied improvisational techniques and principles, in a fun and supportive environment, we will show you how to change routine patterns, step outside your comfort zone, and fuel new ideas.  

We will focus on the following topics:
Looking at ideas and issues from multiple perspectives and challenging assumptions
Using the “yes, and…” principle as a key to a successful teamwork 
Learning how to shift in the moment and be flexible with your agenda
Stepping outside your comfort zone in a trusting environment
Thinking on the spot
Tapping into your creative side
Building active listening skills"
Jessie Shternshus : Creative Problem Solving (Wednesday Half Day AM),01/09/2013,8:30 AM,12:30 PM,Banyan,Communication,"(Limited to 40 participants each) 
In today’s demanding market, when every effort is maximized and any improvement counts, creativity can become your winning edge.The importance of creative mind in the corporate world cannot be emphasized enough. During this workshop, you will deepen your core skills in collaboration, creativity, empathy, and problem solving. This original workshop will open the door to the hidden creativity potential within you.  Building on proven applied improvisational techniques and principles, in a fun and supportive environment, we will show you how to change routine patterns, step outside your comfort zone, and fuel new ideas.  

We will focus on the following topics:
Looking at ideas and issues from multiple perspectives and challenging assumptions
Using the “yes, and…” principle as a key to a successful teamwork 
Learning how to shift in the moment and be flexible with your agenda
Stepping outside your comfort zone in a trusting environment
Thinking on the spot
Tapping into your creative side
Building active listening skills
"
"Matt Winkler: Dataflow Programming on Big Data with Scalding, a Scala DSL",01/10/2013,1:45 PM,2:45 PM,Orange,Scala,"How does Twitter know what topics are trending, or what movies people are liking in Sandusky? Cascading is a Java project designed to provide a dataflow programming model with a runtime that can scale across thousands of machines and is used in companies like Twitter, Etsy and Razorfish to perform analysis on large sets of data.  We will get started by running Cascading on a single node for simple analysis, and then scale to a large Hadoop cluster running in Windows Azure.  We will perform more complex analytics using Scalding, a DSL for Scala that allows you to do a lot of work with a little bit code on a lot of data. 
"
Jeff Blankenburg: Design For Developers: Why Windows 8 Will Make You Creative,01/10/2013,1:45 PM,2:45 PM,Aloeswood/Leopardswood,Windows 8,"In today's development world, being a great coder isn't enough anymore.  You've got to start thinking about user experience just as much as you do architecture.  This talk will walk you through how Windows 8 development will make you a better developer by forcing you to think about design."
Jeff McWherter: Developing for the Android (Wednesday Half Day PM),01/09/2013,1:30 PM,5:30 PM,Sagewood/Zebrawood,Android,"Creating a mobile strategy is something many companies still struggle with. iOS and Android own the majority of market share for smartphones, so Android will play a big part in any good mobile strategy. The Android SDK has matured in the more than four years since the first release, and the strong Android community has different opinions among many developers. In this session, Jeff and Scott will work with you to develop an Android application, from start to publish. The majority of this talk will discuss native Android development using Java, but will finish with a few alternatives.  They will provide the training for you to leave this talk ready to turn “I have an idea” into “you should see this app.”

There is no Java prerequisite for this session, and we will work with you to ensure a great learning experience. But we do ask that you come prepared, installing the Android Development tools on your laptop. Please visit http://www.gravityworksdesign.com/About/SpeakingEvents/AndroidPrecompiler.aspx for detailed instructions before the session.
"
Ray Camden: Developing Mobile applications with PhoneGap (Tuesday Half Day AM),01/08/2013,8:30 AM,12:30 PM,D,Mobile,"The free and open source Cordova framework is a powerful tool that enables developers to re-use their existing HTML, CSS, and JavaScript skills to create powerful, rich mobile applications. In this hands on session, Raymond will give attendees an introduction to the framework and it's features. A discussion of web standards, with a focus on mobile support, will cover HTML5 and CSS3 topics. Next, the class will begin creating their own applications making use of the Ripple emulator as well as the PhoneGap Build service.

Students should have basic HTML knowledge as well as a handle on the basics of JavaScript."
Ben Riga: Developing on Windows 8 (Tuesday Full Day) ,01/08/2013,8:30 AM,5:30 PM,Guava/Tamarind,Windows 8,"Windows 8 is Windows re-imagined, representing today’s single biggest opportunity for developers.  Join us for a Windows 8 app workshop to learn how you can take full advantage.  You'll learn from experts in a low-key, interactive way and then get hands-on time to apply what you’ve learned.

In this workshop you will gain an understanding of the platform design tenets, the programming language choices, and the integration points with the operating system and across Windows Store apps.  You'll learn the design principles behind the Windows Store apps and get insights into how to apply these principles in your own apps.  We'll cover updates to familiar .NET or Silverlight features and explore concepts that are new for Windows 8 and show you how to turn your XAML skills into money-making Windows Store apps.

Windows 8 provides a new ready-to-use set of user interface controls and we'll show you how to use them to implement the common patterns that deliver great Windows 8 Store apps.  We'll teach you how to design adaptive layouts that ensure that your apps look great across all different screen sizes, resolutions and aspect ratios
 
With Windows 8 you'll design your app with the expectation that touch will be the primary input method of your users. Support for mouse and pen/stylus requires no additional work as Windows 8 provides this for free. We'll teach you about the touch language and patterns as well as how to incorporate mouse, keyboard and pen. You’ll also learn about the techniques to use for direct manipulation, such as touch targets, layout, margins and use of app bars.
 
Your app's Tiles and Notifications keep it front and center increasing the connection with the user.  In this session we'll cover how you can include primary and secondary Tiles that are ""live"" encouraging the user to personalize their Start screen by pinning info from your app.
 
Windows Store apps use contracts to declare the interactions that they support with other apps.  We'll teach you how to design apps that implement contracts to attract new users or delight existing users by providing them seamless integration with other apps or the system."
All Attendees: Dinner - Thursday,01/10/2013,6:00 PM,7:30 PM,Dining Room,,
Telerik: Dojo: Ball Flow Challenge,01/10/2013,1:45 PM,2:45 PM,Banyan,Agile,"Get up and get agile! The Ball Flow Challenge is an interactive puzzle that gets participants out of their seats to learn/reinforce agile concepts. Great for people of all agile skill levels.

The Dojo is a place where you can go to practice your craft, hone your skills, and learn from others. Each session will have a featured kata or other hands-on activity."
Telerik: Dojo: Designing with C.R.A.P.,01/11/2013,9:30 AM,10:30 AM,Banyan,Design/UX,"Does your app look like crap? Good news: you can tame it with four easy-to-learn design principles, no BFA required.

The Dojo is a place where you can go to practice your craft, hone your skills, and learn from others. Each session will have a featured kata or other hands-on activity. 

You’re encouraged to bring a laptop so you can participate in the hands-on portion."
Telerik: Dojo: Gilded Rose Kata,01/11/2013,10:45 AM,11:45 AM,Banyan,Other,"The Gilded Rose Inn's inventory system developer has moved on to new adventures. Do you have what it takes to add a new feature that allows the inn to sell a new category of items?

The Dojo is a place where you can go to practice your craft, hone your skills, and learn from others. Each session will have a featured kata or other hands-on activity. 

You’re encouraged to bring a laptop with your preferred development tools, but it’s not necessary as we encourage pairing."
Telerik: Dojo: Greed Kata,01/10/2013,11:00 AM,12:00 PM,Banyan,Other,"Greed is a press-your-luck dice rolling game where the roller tries to earn as many points as possible.

The Dojo is a place where you can go to practice your craft, hone your skills, and learn from others. Each session will have a featured kata or other hands-on activity. 

You’re encouraged to bring a laptop with your preferred development tools, but it’s not necessary as we encourage pairing."
Telerik: Dojo: Intro to Typography - Bingo Edition,01/10/2013,3:35 PM,4:45 PM,Banyan,Design/UX,"Typography lingo doesn't have to sound like a foreign language. Members of Telerik's Services design team will be breaking it down in this interactive Dojo session. Come to learn the basics, stay to play a game of BINGO!

The Dojo is a place where you can go to practice your craft, hone your skills, and learn from others. Each session will have a featured kata or other hands-on activity. "
Telerik: Dojo: Marshmallow Challenge,01/11/2013,1:45 PM,2:45 PM,Banyan,Agile,"The task is simple: in 18 minutes, teams must build the tallest free-standing structure out of 20 sticks of spaghetti, 1 yard of tape, 1 yard of string, and 1 marshmallow. The marshmallow needs to be on top. Do you have what it takes?

The Dojo is a place where you can go to practice your craft, hone your skills, and learn from others. Each session will have a featured kata or other hands-on activity."
Telerik: Dojo: Potter Kata,01/11/2013,3:35 PM,4:35 PM,Banyan,Other,"In this kata we'll calculate the optimal discount for customers buying the Harry Potter book series. Wands are permitted, but not required.

The Dojo is a place where you can go to practice your craft, hone your skills, and learn from others. Each session will have a featured kata or other hands-on activity. 

You’re encouraged to bring a laptop with your preferred development tools, but it’s not necessary as we encourage pairing."
Telerik: Dojo: String Calculator Kata,01/10/2013,4:50 PM,5:50 PM,Banyan,Other,"This kata was created by Roy Osherove and is designed to help you learn test-first coding and refactoring. 

The Dojo is a place where you can go to practice your craft, hone your skills, and learn from others. Each session will have a featured kata or other hands-on activity. 

You’re encouraged to bring a laptop with your preferred development tools, but it’s not necessary as we encourage pairing."
Telerik: Dojo: Urinal Kata,01/10/2013,9:45 AM,10:45 AM,Banyan,Other,"This session will feature the Urinal Kata from Mel Grubb's Pecha Kucha talk at last year's CodeMash. In fact, Mel will be in the Dojo to kick off this session by giving his talk again. So if you missed his hilarious talk last year, here's your chance to catch it. 

The Dojo is a place where you can go to practice your craft, hone your skills, and learn from others. Each session will have a featured kata or other hands-on activity. 

You’re encouraged to bring a laptop with your preferred development tools, but it’s not necessary as we encourage pairing."
Jonathan Small: Don't develop prototypes...Sketchflow them,01/10/2013,3:35 PM,4:35 PM,Salon H,Design/UX,In a world of knee jerk reactions by management and clients showing a working prototype can be a killer.  They either love the way it looks without thinking about its functionality or hate the way it looks without ever focusing on the functionality.  Either way they miss the goal that prototyping should accomplish.  In walks Sketchflow to save you.  This tool provides a great way to create a functional prototype while purposely avoiding the look/feel barrier.  It also provides a great way to send out the prototype to remote users and capture their feedback on a view by view basis.  We'll look at the basics of creating a Sketchflow prototype and also examine the tool for getting feedback.
Carol Nichols: DON'T PANIC: The Hitchhiker's Guide to Debugging,01/11/2013,1:45 PM,2:45 PM,Portia/Wisteria,Software Process,"Debugging techniques are about the most massively useful things an interstellar hitchhiker/developer can have... anyone who can debug code is clearly a person to be reckoned with and a hoopy frood indeed.

At the end of this talk, you will have the knowledge about debugging techniques that can be used throughout the stack such as:

* Reading error messages and stack traces: There’s no point in acting surprised about it. All the information has been on display in your terminal for minutes now, why didn't you go look at it?

* Narrowing down the possibilities: Create a reverse Total Perspective Vortex. Start from every possible piece of matter in the universe and trace the effects back to the piece of fairy cake that caused everything.

* Writing tests: both to find the problem and to prevent cases of ""Oh no, not again!"""
Jamie Allen: Effective Actors,01/11/2013,1:45 PM,2:45 PM,Indigo Bay,Scala,"There are several frameworks across languages and platforms of Actors, including Erlang, Fantom, Java and Scala. As developers have built systems using these frameworks, patterns of use have begun to emerge that represent ""Best Practices"" for actor-based systems. In this talk, we will review such patterns, focusing primarily on how to implement them using the Akka framework and Scala."
James Kovacs: Emergent Architecture with TDD/BDD,01/11/2013,9:30 AM,10:30 AM,Portia/Wisteria,Testing,"As architects, we have all experienced the folly of BDUF (Big Design Up Front) – spending weeks or months perfecting an architecture that fails when it meets the real requirements and real code. Is it possible to design in the small? How can we avoid unintended complexity, which cripples so many code bases? Can we build enough of an architecture to start writing code and then flesh out our architecture as the code evolves? In this session we examine how Test-Driven Development (TDD) and Behaviour-Driven Development (BDD) allow us to solve these conundrums. We will see how we can use TDD/BDD to focus our architectural efforts in the high-value areas of our code base to achieve just-in-time architecture."
Steve Madsen: Essential Cocoa Networking,01/10/2013,1:45 PM,2:45 PM,Salon A,Mac/iPhone,"This presentation covers the most common things apps will do with the network: fetching resources and interacting with web services over HTTP(S). We'll start with NSURLConnection, explore third-party APIs that wrap and extend it, and finish up with tips on how you can optimize your use of the network for speed and battery life."
All Attendees: Families: Dinner Meet-up,01/09/2013,5:30 PM,7:00 PM,The Reserve,Other,CodeMash Families Meet-up for dinner @ The Reserve (Wear your name badge so we can find you!)
All Attendees: Families: Game Night,01/09/2013,8:00 PM,,Acacia,Other,CodeMash Families Game Night Extravaganza
All Attendees: Families: Momz (Spouse’s) Night Out,01/11/2013,8:00 PM,11:00 PM,Ivory Coast Lounge,Other,CodeMash Families Momz (Spouse’s) Night Out: Cocktail Hour
All Attendees: Families: Movie Night,01/10/2013,8:00 PM,,Acacia,Other,CodeMash Families Movie Night w/snacks
All Attendees: Families: Up All Night,01/10/2013,11:00 PM,,CMF Cabana,Other,CodeMash Families “Up All Night” Water Park Meet-Up CMF Cabana
Mike Swift: Full Stack Integration Tests with Node.js,01/11/2013,3:35 PM,4:35 PM,Rosewood,Testing,"Writing full-stack integration tests can be a time consuming and tedious process in any language.  As your application grows, your tests naturally should take longer and longer to run and become more difficult to maintain.  Using node you can actually dramatically increasing the speed of your tests and still achieve the same level of test coverage.  Specifically I'll show you how you can use Zombie.js or Phantom.js and Cucumber.js to perform integration tests on your application.  We'll also take a look at some useful tools for things like mock objects and JSON factories and some common pitfalls you can avoid."
"Jeremy Miller: Fully Operational FubuMVC 1.0 (Wednesday Half Day, PM)",01/09/2013,1:30 PM,5:30 PM,Nile,.NET,"FubuMVC has quietly been in active use and development for a little over three years as a web development framework for .Net, but now it’s time for its full coming-out party.  Even if you’re perfectly happy with the framework your team uses, FubuMVC incorporates some ideas and features not found in today’s most popular frameworks such as Ruby on Rails or ASP.Net MVC.
We’ll start things off by showing how to start a minimalistic project with FubuMVC and do all the basic “Hello World” operations that every web framework does without breaking a sweat, but focus on how the FubuMVC “one model in, one model out” approach is different.  We’ll quickly follow that up by showing many of the features we believe are unique to FubuMVC like composable Html conventions, Url resolution logic, integrated authorization, and “meta-conventions.” 
FubuMVC relies very heavily on conventions for developer productivity as opposed to explicit directives like a Sinatra-flavored tool or higher ceremony tools like ASP.Net MVC.  We strongly prefer that approach because of how clean the code becomes, but that kind of “black magic” can easily cause just as much harm as good.  Fortunately the FubuMVC team has made a deep investment in diagnostics to explain the conventions that are active in your system, how they impact the behavior of your system, and full runtime tracing to visualize how an http request is handled by the various runtime parts of your FubuMVC application.  We’ll show you how to use the FubuMVC.Diagnostics package to understand and troubleshoot problems with your FubuMVC project.
FubuMVC supports a very rich modularity story using the related Bottles library and a relentless focus on composing code in an “open/closed” fashion.  In this session we’ll quickly assemble a simple application by dropping in several off the shelf Bottles to handle infrastructure concerns like authentication and validation and even simplify usage of JavaScript assets like Twitter Bootstrap and jQuery.UI.  We’ll also show you how to build your own Bottles – both for reusable infrastructure concerns and how to isolate features into their own Bottle projects to facilitate Continuous Deployment strategies.
FubuMVC also comes with a very powerful asset pipeline to fully control script and stylesheet loading, dependencies between assets, caching policies, and a transformation pipeline for minification, combining assets, and using languages like CoffeeScript, LeSS, and Sass.  We’ll show you how to use the asset pipeline in development and talk about the steps we’ve taken to improve performance and smooth out the development process.  We’ll also show you how to incorporate Html templates generated on the server as assets for “Single Page Application” style development.
Time permitting, we’ll also show how we do automated testing against FubuMVC applications at the unit test, integration testing with the Kayak web server, and acceptance testing using WebDriver.
"
Jimmy Bogard: Functional Testing with ASP.NET MVC,01/10/2013,1:45 PM,2:45 PM,Sagewood/Zebrawood,Testing,"You unit test, even integration test your application. You get to 100% code coverage, but when you finally deploy your application, the system is broken! How can we have full code coverage, but our application still breaks?
In this session, we'll look at functional testing with ASP.NET MVC and how we can design our system for testability. We'll also look at how we can write functional tests that don't break easily, and see how we can finally ditch the test recorders.
"
Brian Prince: Gamification of our World,01/10/2013,1:45 PM,2:45 PM,Indigo Bay,Game Development,"Brian freely admits that he will do anything for an achievement on his Xbox; after all he has four of them at home. One day Brian wondered if he could get achievements for just putting on pants going to this place called ‘outside.’ This thinking has led to the gamification of our world, where achievements, game design elements, and game theory have leapt from gaming across the wall to everyday life. Learn the how’s and why of gamification. Everyone is using it to build wanted behavior, from enterprise developer teams, to sales teams, and to kids with diabetes. Being a gamer is not required, but we can’t guarantee you won’t become one when you are done."
Carl Franklin: Gesture Recognition with Kinect for Windows,01/10/2013,3:35 PM,4:35 PM,Aloeswood/Leopardswood,.NET,"Developer and co-host of .NET Rocks!, Carl Franklin shows you
how to go about recognizing gestures with K4Win based on his work with GesturePak, a ""Gesture Recording and Recognition Toolkit."" GesturePak records you making gestures and then notifies your app when your user has made one or more of those gestures."
Elise Worthy: Getting Good: How to Integrate Novice Developers into Your Team,01/10/2013,3:35 PM,4:35 PM,Nile,Business,"Good developer talent is extremely hard to find. If you need to scale your team, what options do you have? LivingSocial took an unconventional route and brought on 24 ruby novices for an intensive 5-month developer training program. The litmus test of the program comes now that their development careers have started. How will these beginners deliver value? What lessons can be learned about integrating junior developers into existing teams with large amounts of legacy code? 
"
Chris Risner: Getting Mobile with iOS and Windows Azure Mobile Services,01/11/2013,3:35 PM,4:35 PM,Zambezi,Mac/iPhone,"Ready to build the next great iOS app but don't want to think about the backend? In this session, we’ll go over connecting your iOS apps to Windows Azure Mobile Services.  Mobile Services allow your apps to take advantage of easy data storage, user auth with multiple providers, push notifications and more.  When we're done, you'll be ready to create a great cloud connected app!"
Joshua Smith: Go! Go! Go-lang Awesome!,01/11/2013,9:30 AM,10:30 AM,Cypress,Other Languages,"The Go language was born out of frustration with existing languages and environments for systems programming. Systems programming had become difficult and the languages available were a big part of the problem. You could choose ease with Python or efficiency with C++ or safety with Java.  None of the choices could address all concerns.

Enter (Rob Pike's Masterwork) the language Go. Go is the space-based I-have-come-from-the-future-to-save-you tactical nuclear smasher-of-evil you have been waiting for. it is a modern language with support for advanced networking, multicore computing, excellent string handling and portability.

No previous experience with Go is required for this introductory talk."
Mike Eaton: Going Independent (Tuesday Full Day),01/08/2013,8:30 AM,5:30 PM,Ironwood,Other,"Breaking free from the confines of the cubicle farm and going out on your own can be one of the most satisfying things you do for your career. It can also be one of the most terrifying. Being on your own can seem like it's nothing but ponies, unicorns and rainbows, but it's a lot of work, and success is not guaranteed.

Mike, an independent developer since 2001, will discuss the lessons he's learned over the years along with the ups and downs he's experienced. In this updated and expanded session, he will be joined by two legal professionals to help answer the most common questions he's been asked over the years. ""How do I get started?"", ""Where do I find clients?"", ""How much do I charge?"", ""Do I need a contract?"" and many others. Bring your questions and find out if the grass really is greener on the other side.
"
"Sharon Cichelli: Hello, Arduino: Write Code that Interacts with the Real World",01/11/2013,9:30 AM,10:30 AM,Salon E,Hardware,"Take the first step in raising your robot army, and meet the Arduino, the microcontroller designed to be approachable and fun. From blinky lights to motors, temperature sensors to wifi, RFID to MIDI, you can make your code DO STUFF. If you are familiar with a curly-brace-and-semi-colon language (JavaScript, C#, Java, C, PHP...), you've already mastered half of the equation. Electronics is the other half, and the Arduino simplifies much of that, too, and gives you a fun platform on which to learn it. In this lively and interactive session, Sharon will introduce you to the Arduino by walking through a series of building-block projects, writing code and plugging bits into breadboards. Seeing the available options and how they come together is sure to get your imagination cranking."
Tim Wingfield: Hippie Free Backbone: Beyond the To Do List (Wednesday All Day),01/09/2013,8:30 AM,5:30 PM,E,JavaScript,"Have you heard about Backbone and thought single-page applications were unpossible? Do you wonder about the big kerfluffle with Coffeescript? Tired of examples that only show shiny new Backbone.js applications? In two half-day sessions, we'll show you how to leverage these tools to improve an old, busted website that could use a little love. Indeed, there aren't any websites out there like that, but we’ll arm you with some tools to change them should you ever encounter the rare case...
The morning session will be all JavaScript, all the time. We'll start by delving into the dark corners of the language, examining the syntax, common practical patterns, and other idiosyncrasies. After our intro to Javascript we'll work on our example app, and turn ""pretty good"" JavaScript into code that displays separation of concerns and code that is easily testable. We'll use Backbone.js, the Underscore.js tools included with Backbone.js, and the Jasmine testing framework to treat your client-side code like a first class citizen without overhauling your existing application.
The afternoon session will introduce CoffeeScript to those who haven't had much exposure to it. CoffeeScript is a language that complies into JavaScript, and it is baked into newer versions of Ruby on Rails. We'll show some of the syntax and patterns, and we'll explain why someone would want to use it over plain, boring JavaScript. After we get familiar with CoffeeScript, we'll hit the reset button on our example app from the morning session and once again set to refactoring it to be clean, beautiful, well tested code with Backbone.js, but do it all in CoffeeScript this time.
"
Greg Levenhagen: How HTML5 Makes YOU a Windows 8 Store App Dev Already!,01/10/2013,4:50 PM,5:50 PM,Sagewood/Zebrawood,Windows 8,"Are you a web developer? Your toolset makes you a Windows 8 Metro app developer because HTML5 is now a first class citizen for making WinRT apps. Using HTML5 along with JavaScript and CSS3, Microsoft has enabled web developers from all platforms the ability to start app dev with a very low learning curve. Come see what that learning curve looks like, as Greg discusses what WinJS is and how to use it. You will learn about the basics of Windows Store App patterns, navigation, async, and operating system integration."
David Giard: How I Learned to Stop Worrying and Love jQuery,01/10/2013,11:00 AM,12:00 PM,Salon D,JavaScript,"JavaScript is an excellent way to add rich client-side functionality to a web site. But differences in the DOM implementation by the various browsers and platforms can make JavaScript difficult. JQuery solves this by providing a library of functions that provide simplified, consistent, cross-browser, cross-platform JavaScript support.
In this session, I will show how to add jQuery to your applications and use it to add rich functionality to your web sites. 
This presentation is heavy on examples, showing jQuery syntax and functionality; showing Ajax calls with jQuery; and showing jQuery UI examples.
"
Kevin Pilch-Bisson: How it's Made: Behind the scenes of Building Microsoft Roslyn,01/11/2013,9:30 AM,10:30 AM,Sagewood/Zebrawood,.NET,"Take a look behind the scenes at the processes that power Microsoft's Roslyn project.  In this overview, we'll cover how the team has taken advantage of agile planning to manage priorities and scheduling.  We'll take a look at the development process including the approach to designing and writing code.  Testing and testability are a huge focus of the Roslyn project, and the team writes several distinct types of automated tests, and employs a variety of other testing techniques. Finally we'll examine some of the unique challenges faced by a project like Roslyn - huge backwards compatibility requirements, hard to meet performance scenarios, and more."
"Kevin Pilch-Bisson : How it's made: Behind the scenes of building Microsoft Roslyn (Wednesday Half Day, PM)",01/09/2013,1:30 PM,5:30 PM,Orange,.NET,"Take a look behind the scenes at the processes that power Microsoft's Roslyn project.  In this overview, we'll cover how the team has taken advantage of agile planning to manage priorities and scheduling.  We'll take a look at the development process including the approach to designing and writing code.  Testing and testability are a huge focus of the Roslyn project, and the team writes several distinct types of automated tests, and employs a variety of other testing techniques. Finally we'll examine some of the unique challenges faced by a project like Roslyn - huge backwards compatibility requirements, hard to meet performance scenarios, and more.                          "
Jamie Begin: How to Build Resilient & Scalable PHP Applications on Amazon Web Services,01/10/2013,9:45 AM,10:45 AM,Rosewood,PHP,"Amazon Web Services (AWS) provides a deceptively simple method of building PHP apps in the cloud.  However, AWS is fundamentally different from traditional hosting environments in a number of important ways.  Jamie and Mike from RightBrain Networks will be discussing best practices, common mistakes, and cost-saving strategies every PHP developer using AWS should know. Included will be lessons learned and architecture examples from real-life deployments."
Jon Skeet: How to make the C# Compiler (or Team) Cry,01/10/2013,3:35 PM,4:35 PM,Guava/Tamarind,.NET,"C# is a wonderfully powerful language, with each new release bringing new shiny toys for developers. Normally we would only use these features for honorable purposes, but... well, it's fun to abuse languages occasionally. I've rarely met a language feature I haven't found some way of twisting in weird and wonderful ways.

I will do my utmost to make sure that absolutely none of the code presented in this talk will be suitable for production use, but that all of it will be entertaining and possibly eye-watering. Let's face it, you didn't really come to CodeMash to learn, did you?

"
Benjamin Winkler: How to Start a Company,01/10/2013,9:45 AM,10:45 AM,Nile,Business,"Got a great idea?  Setting up something on the side with a couple coworkers?  Great!  Now what?  Should you sign something about who has ownership?  What exactly is an LLC or an EIN?  Is the text message from your client okaying the project cost good enough?  What about that guy who dropped out early on?  This session explores the legal nuts and bolts of how to go into business - how to establish a business entity, what you agree on now to avoid litigation later, when to get a lawyer involved in dealing with a customer, and why you should never, ever agree with your friends that you are ""partners""."
Frederic Simon: How we Took Our Server-side Application to the Cloud and Liked What We Got,01/11/2013,1:45 PM,2:45 PM,Rosewood,Java," Taking traditional Java server-side applications to the multi-tenant Cloud introduces lots of challenges. In this session, we will share our experience of creating a SaaS offering, which is currently being used successfully by the Java community. We will start by reviewing the challenges we faced during the SaaS conversion. Next, we will share our experience with the EC2 platform. We will discuss the importance of automation and how we use tools like Chef and Puppet for SaaS provisioning. Finally, we will describe how creating a SaaS version of our product shifted our way of thinking about software release. We will recommend what’s required to successfully release both SaaS and downloadable versions of your product."
Andrew Glover: HTML 5 and the Great Mobile Debate,01/10/2013,1:45 PM,2:45 PM,Zambezi,Mobile,"A year ago, hybrid development frameworks like PhoneGap that leverage HTML5 were poised to radically alter mobile app development.  A year later, the potential has failed to live up to the promise: Faster/Easier/Cheaper doesn't always mean Better. Going Native often times still remains the best way to go. And Native doesn't have to mean Objective-C or Java -- there's a bevy of innovative mobile development frameworks gaining momentum that ultimately produce a legitimate native application that doesn't suffer from an underwhelming user experience associated with poorly built mobile web apps. What's more, in this stage of mobile's evolution, multi-platform doesn't always have to be a requirement. What is a primary requirement, however, is U/X and this is where HTML5 lacks Native parity. 

In this presentation, I'll address the Great Mobile Debate head-on -- you'll learn the current state of HTML 5 and understand what's good about it and what isn't. I'll show you where HTML 5 makes sense and how to leverage it correctly, and then I'll demonstrate an impressive list of mobile development frameworks that enable you to build awesome Native apps that consumers demand. And these frameworks don't demand mastery of Objective-C or Java -- like PhoneGap they abstract the raw platform, but unlike PhoneGap, they ultimately build an app capable of wowing an end user. 
"
Brandon Satrom: HTML5 Workshop (Wednesday Half Day AM),01/09/2013,8:30 AM,12:30 PM,Zambezi,Web,"HTML5 is exciting, and it does have the potential to change the Web as we know it, but it also gets blown out of proportion. What’s more, its true meaning can be elusive. It’s a broad topic, so it’s difficult to wrap your head around HTML5, much less know where to begin with this exciting new set of technologies. 
  
That's where our pre-compiler comes in. 
  
Over the course of a half-day, we (Brandon Satrom and Clark Sell) will tell you everything you need to know to get started with the next generation of open web technologies. We'll start with an overview of what HTML5 is, and why it matters, before moving quickly through major aspects of the core HTML5 specifications. Then, we'll discuss highlights of CSS3, major new JavaScript APIs and language features, before we end with a discussion on graceful degradation and adopting HTML5 without leaving older browsers behind.  Throughout the day, we'll mix in hands-on exercises and labs so that you can leave with a working understanding of these technologies, and how you can begin to apply them immediately. This session is platform agnostic, so all you need to attend get your hands dirty is a text editor (like TextMate, Vim, e, Visual Studio or WebMatrix) and your favorite, modern browser to learn how to make the web shine."
Justine Arreche: I Am Designer and So Can You!,01/10/2013,4:50 PM,5:50 PM,Salon H,Design/UX,"For many developers, design does not come naturally. Lucky for you, you have ME! (Congrats on your recent acquisition of my friendship and knowledge.) Let me be the first to tell you design isn’t as complicated as it may seem. It all boils down to three basic strategies that we’ll discuss in this session.

First, we’ll go over the fundamentals of grid structure. This will include how to set the content to maximize space allowance, and create an appropriate hierarchy to convey your content based on importance. Second, we’ll take a brief trip down color-theory lane. Theory? Yes, there is theory behind all UI color choices and you’ll learn what that means and why. Last, get ready, this is the big finale; we’re going to talk type! Type is a huge part of design and is often neglected or simply thought of as the alphabet. Each typeface tells a story and you want to make sure you’re picking one that’s right for your message.

If all of this sounds over your head, fear not, I’ll hold your hand and go slow. This session is for design beginners, people who have an interest in design, or just those of you who’d like to be able to understand your own designers better."
David Hoerster: I Didn't Know JavaScript Could Do That! The Missing Introduction to the World's Most Misunderstood Language,01/11/2013,1:45 PM,2:45 PM,Salon D,JavaScript,"JavaScript used to be a language that most ASP.NET developers shied away from, or only used it for some simple form validation. With the ascent of jQuery, developers are realizing that JavaScript is more than just a way to validate data or perform some simple functions. It's a powerful language that is quickly becoming the engine driving most web applications. But for most developers, their exposure is limited to using JavaScript through frameworks, such as jQuery, and they really haven't been exposed to the true power of JavaScript.

In this session, we'll learn about some features of JavaScript that you may not be familiar with. From the concepts of truthy and falsey, to extending your objects through prototypal inheritence (and properly exposing your object's functions), we'll take a tour through the JavaScript language that will make you say ""I Didn't Know JavaScript Could Do That!"". "
Steve Smith: Intermediate Software Craftsmanship (Wednesday Half Day PM),01/09/2013,1:30 PM,5:30 PM,Cypress,Craftsmanship,"Join your peers and fellow craftsmen in a variety of coding kata and exercises designed to improve your skills as software developers. Led by organizers of the Hudson Software Craftsmanship group, this interactive session will help you sharpen your tools and learn from others. Experienced developers from all backgrounds are welcome, as are beginners (who might consider attending the morning's Beginning Software Craftsmanship session, though it's not required). Attendees should already be comfortable with a programming language of their choice and if possible should bring along a laptop computer with their development tools installed, including a unit testing tool.  This session will focus on group design, refactoring, and application of design patterns to improve the design of existing software.
"
